Completion Note,Keywords for 1,Keywords for 2,Keywords for 3
"Called spoke with Ralph had him power cycle the oven, this fixed the issue. Closed with FCC at 1102PST","['1102pst', 'closed', 'cycle', 'fcc', 'fix', 'issue', 'oven', 'power', 'ralph', 'speak']","['closed fcc', 'cycle oven', 'fcc 1102pst', 'fix issue', 'issue closed', 'oven fix', 'power cycle', 'ralph power', 'speak ralph']","['closed fcc 1102pst', 'cycle oven fix', 'fix issue closed', 'issue closed fcc', 'oven fix issue', 'power cycle oven', 'ralph power cycle', 'speak ralph power']"
"Left Oven
Cook Count: 138,600

Found oven reading constant key press detected. Power cycled and reheated oven. 

Left Mag: 8.4
Right Mag: 8.2
Heater: 11.1
Blower and all fans are operational. Set date and time. 


Closed with FCC at 0922PST","['mag', 'oven', '0922pst', '111blower', '138600found', '82heater', '84right', 'closed', 'constant', 'count', 'cycle', 'date', 'detect', 'fan', 'fcc', 'key', 'leave', 'left', 'operational', 'ovencook', 'power', 'press', 'read', 'reheat', 'set', 'time']","['111blower fan', '138600found oven', '82heater 111blower', '84right mag', 'closed fcc', 'constant key', 'count 138600found', 'cycle reheat', 'date time', 'detect power', 'fan operational', 'fcc 0922pst', 'key press', 'leave ovencook', 'left mag', 'mag 82heater', 'mag 84right', 'operational set', 'oven left', 'oven read', 'ovencook count', 'power cycle', 'press detect', 'read constant', 'reheat oven', 'set date', 'time closed']","['111blower fan operational', '138600found oven read', '82heater 111blower fan', '84right mag 82heater', 'closed fcc 0922pst', 'constant key press', 'count 138600found oven', 'cycle reheat oven', 'date time closed', 'detect power cycle', 'fan operational set', 'key press detect', 'leave ovencook count', 'left mag 84right', 'mag 82heater 111blower', 'mag 84right mag', 'operational set date', 'oven left mag', 'oven read constant', 'ovencook count 138600found', 'power cycle reheat', 'press detect power', 'read constant key', 'reheat oven left', 'set date time', 'time closed fcc']"
"Left oven 
CC 145069
Constant key press 

Ovens on on arrival
All functions working properly 
L mag 8.3,R mag 8.3
Current menu holiday 22
Tested with cook

Closed with FCC at 1703pst","['mag', '145069constant', '1703pst', '22teste', '83current', '83r', 'arrivalall', 'cc', 'cookclose', 'fcc', 'function', 'holiday', 'key', 'leave', 'menu', 'oven', 'ovens', 'press', 'properly', 'work']","['145069constant key', '22teste cookclose', '83current menu', '83r mag', 'arrivalall function', 'cc 145069constant', 'cookclose fcc', 'fcc 1703pst', 'function work', 'holiday 22teste', 'key press', 'leave oven', 'mag 83current', 'mag 83r', 'menu holiday', 'oven cc', 'ovens arrivalall', 'press ovens', 'properly mag', 'work properly']","['145069constant key press', '22teste cookclose fcc', '83current menu holiday', '83r mag 83current', 'arrivalall function work', 'cc 145069constant key', 'cookclose fcc 1703pst', 'function work properly', 'holiday 22teste cookclose', 'key press ovens', 'leave oven cc', 'mag 83current menu', 'mag 83r mag', 'menu holiday 22teste', 'oven cc 145069constant', 'ovens arrivalall function', 'press ovens arrivalall', 'properly mag 83r', 'work properly mag']"
"Left oven 2006213090069
Cc: 178,616
7-E101
212v
Magnetron: 3.7 , 8.2
Heater : 10.a
Oven was not in operation upon arrival 
The problem: E101 error not cooking food completely 

Found: Left magnetron measured for resistance found out of spec. 

Actions: replaced left magnetron ran system test no faults found, ran product test 0 faults.","['fault', 'leave', 'magnetron', 'run', 'test', '10aoven', '1786167e101212vmagnetron', '2006213090069cc', '37', '82heater', 'actions', 'arrival', 'completely', 'cook', 'e101', 'error', 'food', 'left', 'measure', 'operation', 'oven', 'problem', 'product', 'replace', 'resistance', 'spec']","['10aoven operation', '1786167e101212vmagnetron 37', '2006213090069cc 1786167e101212vmagnetron', '37 82heater', '82heater 10aoven', 'actions replace', 'arrival problem', 'completely left', 'cook food', 'e101 error', 'error cook', 'fault run', 'food completely', 'leave magnetron', 'leave oven', 'left magnetron', 'magnetron measure', 'magnetron run', 'measure resistance', 'operation arrival', 'oven 2006213090069cc', 'problem e101', 'product test', 'replace leave', 'resistance spec', 'run product', 'run test', 'spec actions', 'test fault']","['10aoven operation arrival', '1786167e101212vmagnetron 37 82heater', '2006213090069cc 1786167e101212vmagnetron 37', '37 82heater 10aoven', '82heater 10aoven operation', 'actions replace leave', 'arrival problem e101', 'completely left magnetron', 'cook food completely', 'e101 error cook', 'error cook food', 'fault run product', 'food completely left', 'leave magnetron run', 'leave oven 2006213090069cc', 'left magnetron measure', 'magnetron measure resistance', 'magnetron run test', 'measure resistance spec', 'operation arrival problem', 'oven 2006213090069cc 1786167e101212vmagnetron', 'problem e101 error', 'product test fault', 'replace leave magnetron', 'resistance spec actions', 'run product test', 'run test fault', 'spec actions replace', 'test fault run']"
"Called spoke with Alexa had her power cycle the oven this fixed the issue. 

Closed with FCC at 1043PST","['1043pst', 'alexa', 'closed', 'cycle', 'fcc', 'fix', 'issue', 'oven', 'power', 'speak']","['alexa power', 'closed fcc', 'cycle oven', 'fcc 1043pst', 'fix issue', 'issue closed', 'oven fix', 'power cycle', 'speak alexa']","['alexa power cycle', 'closed fcc 1043pst', 'cycle oven fix', 'fix issue closed', 'issue closed fcc', 'oven fix issue', 'power cycle oven', 'speak alexa power']"
"Left Oven
Cook Count: 204517
Faults: None
Voltage: 208(210)
Amps: Right: 8.3
             Left: 8.2
Heater Amps: 10.2

Issue: Oven has damaged cook tray and studs.

Resolution: Had FSM order two cook plates. Will call both ovens in after cook plates arrove.

Closed with FCC at 1613PST","['cook', 'oven', 'plate', '102issue', '1613pst', '204517faults', '208210amps', '82heater', '83', 'amps', 'arroveclose', 'count', 'damage', 'fcc', 'fsm', 'leave', 'left', 'nonevoltage', 'order', 'ovencook', 'right', 'studsresolution', 'tray']","['102issue oven', '204517faults nonevoltage', '208210amps right', '82heater amps', '83 left', 'amps 102issue', 'arroveclose fcc', 'cook plate', 'cook tray', 'count 204517faults', 'damage cook', 'fcc 1613pst', 'fsm order', 'leave ovencook', 'left 82heater', 'nonevoltage 208210amps', 'order cook', 'oven cook', 'oven damage', 'ovencook count', 'plate arroveclose', 'plate oven', 'right 83', 'studsresolution fsm', 'tray studsresolution']","['102issue oven damage', '204517faults nonevoltage 208210amps', '208210amps right 83', '82heater amps 102issue', '83 left 82heater', 'amps 102issue oven', 'arroveclose fcc 1613pst', 'cook plate arroveclose', 'cook plate oven', 'cook tray studsresolution', 'count 204517faults nonevoltage', 'damage cook tray', 'fsm order cook', 'leave ovencook count', 'left 82heater amps', 'nonevoltage 208210amps right', 'order cook plate', 'oven cook plate', 'oven damage cook', 'ovencook count 204517faults', 'plate arroveclose fcc', 'plate oven cook', 'right 83 left', 'studsresolution fsm order', 'tray studsresolution fsm']"
Stubs and tray causing arching and noise. Store manager will order two cook trays and call both ovens back in,"['tray', 'arch', 'cause', 'cook', 'manager', 'noise', 'order', 'oven', 'store', 'stub']","['arch noise', 'cause arch', 'cook tray', 'manager order', 'noise store', 'order cook', 'store manager', 'stub tray', 'tray cause', 'tray oven']","['arch noise store', 'cause arch noise', 'cook tray oven', 'manager order cook', 'noise store manager', 'order cook tray', 'store manager order', 'stub tray cause', 'tray cause arch']"
"Left oven 
Cook count 
208v
No errors 

Found burnt cavity stubs and burnt cook tray
Replaced stubs and cook plate
All other functions working properly 
L mag 8.4
R mag 8.4
Heater 10.8","['cook', 'burn', 'mag', 'stub', '108', '208vno', '84heat', '84r', 'cavity', 'count', 'error', 'function', 'leave', 'oven', 'plateall', 'properly', 'trayreplace', 'work']","['208vno error', '84heat 108', '84r mag', 'burn cavity', 'burn cook', 'cavity stub', 'cook count', 'cook plateall', 'cook trayreplace', 'count 208vno', 'error burn', 'function work', 'leave oven', 'mag 84heat', 'mag 84r', 'oven cook', 'plateall function', 'properly mag', 'stub burn', 'stub cook', 'trayreplace stub', 'work properly']","['208vno error burn', '84r mag 84heat', 'burn cavity stub', 'burn cook trayreplace', 'cavity stub burn', 'cook count 208vno', 'cook plateall function', 'cook trayreplace stub', 'count 208vno error', 'error burn cavity', 'function work properly', 'leave oven cook', 'mag 84heat 108', 'mag 84r mag', 'oven cook count', 'plateall function work', 'properly mag 84r', 'stub burn cook', 'stub cook plateall', 'trayreplace stub cook', 'work properly mag']"
"Left oven 
Cook count 
208v
No errors 

Found burnt cavity stubs and burnt cook tray
Replaced stubs and cook plate
All other functions working properly 
L mag 8.4
R mag 8.4
Heater 10.8","['cook', 'burn', 'mag', 'stub', '108', '208vno', '84heat', '84r', 'cavity', 'count', 'error', 'function', 'leave', 'oven', 'plateall', 'properly', 'trayreplace', 'work']","['208vno error', '84heat 108', '84r mag', 'burn cavity', 'burn cook', 'cavity stub', 'cook count', 'cook plateall', 'cook trayreplace', 'count 208vno', 'error burn', 'function work', 'leave oven', 'mag 84heat', 'mag 84r', 'oven cook', 'plateall function', 'properly mag', 'stub burn', 'stub cook', 'trayreplace stub', 'work properly']","['208vno error burn', '84r mag 84heat', 'burn cavity stub', 'burn cook trayreplace', 'cavity stub burn', 'cook count 208vno', 'cook plateall function', 'cook trayreplace stub', 'count 208vno error', 'error burn cavity', 'function work properly', 'leave oven cook', 'mag 84heat 108', 'mag 84r mag', 'oven cook count', 'plateall function work', 'properly mag 84r', 'stub burn cook', 'stub cook plateall', 'trayreplace stub cook', 'work properly mag']"
"Had manager cycle power 
Oven now operational
PHR
Closed with FCC at 1834pst","['1834pst', 'cycle', 'fcc', 'manager', 'operationalphrclose', 'oven', 'power']","['cycle power', 'fcc 1834pst', 'manager cycle', 'operationalphrclose fcc', 'oven operationalphrclose', 'power oven']","['cycle power oven', 'manager cycle power', 'operationalphrclose fcc 1834pst', 'oven operationalphrclose fcc', 'power oven operationalphrclose']"
"Trip 1 (Bob):
Oven Type + side 2006213090069 L 
Cook Count l: 245054
Faults EF

Issues Found:
•Defective SW3 door switch.
•Door seal torn.
•Right hinge worn.

Resolutions:
•Replaced switch and door seal. No Replacement hinges on-hand. Will return, oven is usable.
•
•

Trip 2 (Bruce):
Replaced both door hinges, cleaned air filter, ran recommission tests, all passed

Voltage 208V
Amperage 
Left: 8.8A
Right: 8.7A
Heater Amperage: 10.8

Oven operating nominally","['door', 'hinge', 'seal', '108oven', '2006213090069', '208vamperage', '245054faults', '87aheater', '88aright', 'air', 'amperage', 'boboven', 'brucereplaced', 'clean', 'cook', 'count', 'efissue', 'filter', 'leave', 'nominally', 'onhand', 'operate', 'oven', 'passedvoltage', 'recommission', 'replacement', 'return', 'run', 'sw3', 'switch', 'test', 'trip', 'type', 'defective', 'replace', 'right', 'torn', 'usable', 'wornresolutions']","['108oven operate', '2006213090069 cook', '208vamperage leave', '245054faults efissue', '87aheater amperage', '88aright 87aheater', 'air filter', 'amperage 108oven', 'boboven type', 'brucereplaced door', 'clean air', 'cook count', 'count 245054faults', 'defective sw3', 'door hinge', 'door seal', 'door switch', 'efissue defective', 'filter run', 'hinge clean', 'hinge onhand', 'hinge wornresolutions', 'leave 88aright', 'onhand return', 'operate nominally', 'oven usable', 'passedvoltage 208vamperage', 'recommission test', 'replace switch', 'replacement hinge', 'return oven', 'right hinge', 'run recommission', 'seal replacement', 'seal torn', 'sw3 door', 'switch door', 'test passedvoltage', 'torn right', 'trip boboven', 'trip brucereplaced', 'type 2006213090069', 'usable trip', 'wornresolutions replace']","['108oven operate nominally', '2006213090069 cook count', '208vamperage leave 88aright', '245054faults efissue defective', '87aheater amperage 108oven', '88aright 87aheater amperage', 'air filter run', 'amperage 108oven operate', 'boboven type 2006213090069', 'brucereplaced door hinge', 'clean air filter', 'cook count 245054faults', 'count 245054faults efissue', 'defective sw3 door', 'door hinge clean', 'door seal replacement', 'door seal torn', 'door switch door', 'efissue defective sw3', 'filter run recommission', 'hinge clean air', 'hinge onhand return', 'hinge wornresolutions replace', 'leave 88aright 87aheater', 'onhand return oven', 'oven usable trip', 'passedvoltage 208vamperage leave', 'recommission test passedvoltage', 'replace switch door', 'replacement hinge onhand', 'return oven usable', 'right hinge wornresolutions', 'run recommission test', 'seal replacement hinge', 'seal torn right', 'sw3 door switch', 'switch door seal', 'test passedvoltage 208vamperage', 'torn right hinge', 'trip boboven type', 'trip brucereplaced door', 'type 2006213090069 cook', 'usable trip brucereplaced', 'wornresolutions replace switch']"
"Trip 1 (Bob):
Oven Type + side 2006213090069 L 
Cook Count l: 245054
Faults EF

Issues Found:
•Defective SW3 door switch.
•Door seal torn.
•Right hinge worn.

Resolutions:
•Replaced switch and door seal. No Replacement hinges on-hand. Will return, oven is usable.
•
•

Trip 2 (Bruce):
Replaced both door hinges, cleaned air filter, ran recommission tests, all passed

Voltage 208V
Amperage 
Left: 8.8A
Right: 8.7A
Heater Amperage: 10.8

Oven operating nominally","['door', 'hinge', 'seal', '108oven', '2006213090069', '208vamperage', '245054faults', '87aheater', '88aright', 'air', 'amperage', 'boboven', 'brucereplaced', 'clean', 'cook', 'count', 'efissue', 'filter', 'leave', 'nominally', 'onhand', 'operate', 'oven', 'passedvoltage', 'recommission', 'replacement', 'return', 'run', 'sw3', 'switch', 'test', 'trip', 'type', 'defective', 'replace', 'right', 'torn', 'usable', 'wornresolutions']","['108oven operate', '2006213090069 cook', '208vamperage leave', '245054faults efissue', '87aheater amperage', '88aright 87aheater', 'air filter', 'amperage 108oven', 'boboven type', 'brucereplaced door', 'clean air', 'cook count', 'count 245054faults', 'defective sw3', 'door hinge', 'door seal', 'door switch', 'efissue defective', 'filter run', 'hinge clean', 'hinge onhand', 'hinge wornresolutions', 'leave 88aright', 'onhand return', 'operate nominally', 'oven usable', 'passedvoltage 208vamperage', 'recommission test', 'replace switch', 'replacement hinge', 'return oven', 'right hinge', 'run recommission', 'seal replacement', 'seal torn', 'sw3 door', 'switch door', 'test passedvoltage', 'torn right', 'trip boboven', 'trip brucereplaced', 'type 2006213090069', 'usable trip', 'wornresolutions replace']","['108oven operate nominally', '2006213090069 cook count', '208vamperage leave 88aright', '245054faults efissue defective', '87aheater amperage 108oven', '88aright 87aheater amperage', 'air filter run', 'amperage 108oven operate', 'boboven type 2006213090069', 'brucereplaced door hinge', 'clean air filter', 'cook count 245054faults', 'count 245054faults efissue', 'defective sw3 door', 'door hinge clean', 'door seal replacement', 'door seal torn', 'door switch door', 'efissue defective sw3', 'filter run recommission', 'hinge clean air', 'hinge onhand return', 'hinge wornresolutions replace', 'leave 88aright 87aheater', 'onhand return oven', 'oven usable trip', 'passedvoltage 208vamperage leave', 'recommission test passedvoltage', 'replace switch door', 'replacement hinge onhand', 'return oven usable', 'right hinge wornresolutions', 'run recommission test', 'seal replacement hinge', 'seal torn right', 'sw3 door switch', 'switch door seal', 'test passedvoltage 208vamperage', 'torn right hinge', 'trip boboven type', 'trip brucereplaced door', 'type 2006213090069 cook', 'usable trip brucereplaced', 'wornresolutions replace switch']"
"Trip 1 (Bob):
Oven Type + side 2006213090069 L 
Cook Count l: 245054
Faults EF

Issues Found:
•Defective SW3 door switch.
•Door seal torn.
•Right hinge worn.

Resolutions:
•Replaced switch and door seal. No Replacement hinges on-hand. Will return, oven is usable.
•
•

Trip 2 (Bruce):
Replaced both door hinges, cleaned air filter, ran recommission tests, all passed

Voltage 208V
Amperage 
Left: 8.8A
Right: 8.7A
Heater Amperage: 10.8

Oven operating nominally","['door', 'hinge', 'seal', '108oven', '2006213090069', '208vamperage', '245054faults', '87aheater', '88aright', 'air', 'amperage', 'boboven', 'brucereplaced', 'clean', 'cook', 'count', 'efissue', 'filter', 'leave', 'nominally', 'onhand', 'operate', 'oven', 'passedvoltage', 'recommission', 'replacement', 'return', 'run', 'sw3', 'switch', 'test', 'trip', 'type', 'defective', 'replace', 'right', 'torn', 'usable', 'wornresolutions']","['108oven operate', '2006213090069 cook', '208vamperage leave', '245054faults efissue', '87aheater amperage', '88aright 87aheater', 'air filter', 'amperage 108oven', 'boboven type', 'brucereplaced door', 'clean air', 'cook count', 'count 245054faults', 'defective sw3', 'door hinge', 'door seal', 'door switch', 'efissue defective', 'filter run', 'hinge clean', 'hinge onhand', 'hinge wornresolutions', 'leave 88aright', 'onhand return', 'operate nominally', 'oven usable', 'passedvoltage 208vamperage', 'recommission test', 'replace switch', 'replacement hinge', 'return oven', 'right hinge', 'run recommission', 'seal replacement', 'seal torn', 'sw3 door', 'switch door', 'test passedvoltage', 'torn right', 'trip boboven', 'trip brucereplaced', 'type 2006213090069', 'usable trip', 'wornresolutions replace']","['108oven operate nominally', '2006213090069 cook count', '208vamperage leave 88aright', '245054faults efissue defective', '87aheater amperage 108oven', '88aright 87aheater amperage', 'air filter run', 'amperage 108oven operate', 'boboven type 2006213090069', 'brucereplaced door hinge', 'clean air filter', 'cook count 245054faults', 'count 245054faults efissue', 'defective sw3 door', 'door hinge clean', 'door seal replacement', 'door seal torn', 'door switch door', 'efissue defective sw3', 'filter run recommission', 'hinge clean air', 'hinge onhand return', 'hinge wornresolutions replace', 'leave 88aright 87aheater', 'onhand return oven', 'oven usable trip', 'passedvoltage 208vamperage leave', 'recommission test passedvoltage', 'replace switch door', 'replacement hinge onhand', 'return oven usable', 'right hinge wornresolutions', 'run recommission test', 'seal replacement hinge', 'seal torn right', 'sw3 door switch', 'switch door seal', 'test passedvoltage 208vamperage', 'torn right hinge', 'trip boboven type', 'trip brucereplaced door', 'type 2006213090069 cook', 'usable trip brucereplaced', 'wornresolutions replace switch']"
"Spoke with Ricky shift supervisor, he said oven has been cleaned and they have used it all morning with no issues, he said no service needed at this time PHR","['say', 'clean', 'issue', 'morning', 'need', 'oven', 'phr', 'ricky', 'service', 'shift', 'spoke', 'supervisor', 'time', 'use']","['clean use', 'issue say', 'morning issue', 'need time', 'oven clean', 'ricky shift', 'say oven', 'say service', 'service need', 'shift supervisor', 'spoke ricky', 'supervisor say', 'time phr', 'use morning']","['clean use morning', 'issue say service', 'morning issue say', 'need time phr', 'oven clean use', 'ricky shift supervisor', 'say oven clean', 'say service need', 'service need time', 'shift supervisor say', 'spoke ricky shift', 'supervisor say oven', 'use morning issue']"
