Index,Original Category,keywords,Description,Assigned Category
48,Other,"[('2006213090071 store hours', 0, 0.0), ('actually start error', 0, 0.0), ('available serial 2006213090071', 0, 0.0), ('black eicon ovens', 0, 0.0), ('called new ovens', 0, 0.0), ('chico shift called', 0, 0.0), ('code e104 newer', 0, 0.0), ('e104 newer black', 0, 0.0), ('eicon ovens trbl', 0, 0.0), ('error code e104', 0, 0.0), ('gives message says', 0, 0.0), ('hours 30 pm', 0, 0.0), ('installed night morning', 0, 0.0), ('maintenance oven turned', 0, 0.0), ('message says overheating', 0, 0.0), ('morning sticky note', 0, 0.0), ('new ovens installed', 0, 0.0), ('newer black eicon', 0, 0.0), ('night morning sticky', 0, 0.0), ('note said oven', 0, 0.0), ('oven overheats maintenance', 0, 0.0), ('oven turned gives', 0, 0.0), ('ovens installed night', 0, 0.0), ('ovens trbl available', 0, 0.0), ('overheating won actually', 0, 0.0), ('overheats maintenance oven', 0, 0.0), ('said oven overheats', 0, 0.0), ('says overheating won', 0, 0.0), ('serial 2006213090071 store', 0, 0.0), ('shift called new', 0, 0.0), ('start error code', 0, 0.0), ('sticky note said', 0, 0.0), ('store hours 30', 0, 0.0), ('trbl available serial', 0, 0.0), ('turned gives message', 0, 0.0), ('won actually start', 0, 0.0)]","Chico Shift called because they had two new ovens installed last night. This morning there was a sticky note on one that said this oven overheats, call in for maintenance. When the oven is turned on it gives a message that says its overheating and it won't actually start. Error Code E104 These Are the newer black EICON ovens No Trbl Available Serial #2006213090071 Store Hours 5 am- 7:30 pm",116 Heater OFF on Request
49,Other,"[('2006213090071 asset does', 0, 0.0), ('430 730pm sn', 0, 0.0), ('730pm sn 2006213090071', 0, 0.0), ('asset does merrychef', 0, 0.0), ('called new oven', 0, 0.0), ('code log sh', 0, 0.0), ('cook count error', 0, 0.0), ('cooking cycles just', 0, 0.0), ('count error code', 0, 0.0), ('cycles just installed', 0, 0.0), ('does merrychef e2s', 0, 0.0), ('e2s ovens 1456', 0, 0.0), ('error code log', 0, 0.0), ('failed keeps turning', 0, 0.0), ('gianna ss called', 0, 0.0), ('heater failed keeps', 0, 0.0), ('installed week cook', 0, 0.0), ('just installed week', 0, 0.0), ('keeps turning middle', 0, 0.0), ('log sh 430', 0, 0.0), ('merrychef e2s ovens', 0, 0.0), ('middle cooking cycles', 0, 0.0), ('new oven says', 0, 0.0), ('oven says heater', 0, 0.0), ('says heater failed', 0, 0.0), ('sh 430 730pm', 0, 0.0), ('sn 2006213090071 asset', 0, 0.0), ('ss called new', 0, 0.0), ('turning middle cooking', 0, 0.0), ('week cook count', 0, 0.0)]","Gianna, SS, called in because new oven says heater failed. Keeps turning off in the middle of cooking cycles. Was just installed last week. Can not get cook count or error code log. SH: 430 am to 730pm SN:2006213090071 Asset: does not have MerryChef E2S Ovens - 1456",116 Heater OFF on Request
52,Other,"[('constant key press', 0, 0.0), ('key press detected', 0, 0.0)]",Constant key press detected,Constant Key Press
53,Other,"[('cooking food way', 0, 0.0), ('left oven cooking', 0, 0.0), ('oven cooking food', 0, 0.0)]",Left oven is not cooking the food all the way,Foul Odor
64,Other,"[('cook food items', 0, 0.0), ('food items correctly', 0, 0.0), ('wont cook food', 0, 0.0)]",It wont cook food items correctly,Not Warming
65,Other,"[('completing cooking cycle', 0, 0.0), ('cooking cycle cooking', 0, 0.0), ('cooking items seconds', 0, 0.0), ('cycle cooking items', 0, 0.0), ('oven completing cooking', 0, 0.0)]",Oven not completing cooking cycle. Only cooking items for a few seconds,Food Not Cooking Properly
81,Other,[],Handle damaged,Unknown
82,Other,"[('constant key press', 0, 0.0), ('detected service support', 0, 0.0), ('key press detected', 0, 0.0), ('press detected service', 0, 0.0), ('warning constant key', 0, 0.0)]",Warning constant key press detected call service support,Constant Key Press
83,Other,"[('burned oven tray', 0, 0.0), ('damaged tray unusable', 0, 0.0), ('inside needed partners', 0, 0.0), ('needed partners tried', 0, 0.0), ('oven tray damaged', 0, 0.0), ('partners tried scraping', 0, 0.0), ('plastic burned oven', 0, 0.0), ('replacement tray inside', 0, 0.0), ('scraping melted plastic', 0, 0.0), ('tray damaged tray', 0, 0.0), ('tray inside needed', 0, 0.0), ('tray unusable replacement', 0, 0.0), ('tried scraping melted', 0, 0.0), ('unusable replacement tray', 0, 0.0)]",Plastic was burned on the oven tray which damaged the tray and is now unusable. A replacement tray for the inside is needed. Partners tried scraping melted plastic off.,Cavity
93,Other,"[('allowing use sh430am', 0, 0.0), ('calling store multiple', 0, 0.0), ('multiple times unsuccessful', 0, 0.0), ('reach allowing use', 0, 0.0), ('store multiple times', 0, 0.0), ('times unsuccessful reach', 0, 0.0), ('tried calling store', 0, 0.0), ('unsuccessful reach allowing', 0, 0.0), ('use sh430am 12am', 0, 0.0)]",*tried calling store multiple times however its unsuccessful to reach them. Not allowing us to use it sh430am-12am,Loose Door Handle
98,Other,"[('cook turkey pesto', 0, 0.0)]",Can not cook turkey pesto,Microwave
120,Other,"[('1456 qr 20062130090129', 0, 0.0), ('20062130090129 sh 30', 0, 0.0), ('cooking powering trouble', 0, 0.0), ('e2s ovens 1456', 0, 0.0), ('issue merrychef e2s', 0, 0.0), ('merrychef e2s ovens', 0, 0.0), ('oven cooking powering', 0, 0.0), ('ovens 1456 qr', 0, 0.0), ('powering trouble shooting', 0, 0.0), ('qr 20062130090129 sh', 0, 0.0), ('sarah shift states', 0, 0.0), ('sh 30 11p', 0, 0.0), ('shift states oven', 0, 0.0), ('shooting issue merrychef', 0, 0.0), ('states oven cooking', 0, 0.0), ('trouble shooting issue', 0, 0.0)]",Sarah-shift- states that oven is cooking and then powering off/ No trouble shooting for this issue/ Merrychef E2S Ovens - 1456/ QR# 20062130090129/ SH: 4:30-11p,Power Supply
122,Other,"[('11pm merrychef e2s', 0, 0.0), ('430am 11pm merrychef', 0, 0.0), ('called issues merrychef', 0, 0.0), ('code overheating sh', 0, 0.0), ('e2s ovens 1456', 0, 0.0), ('error code overheating', 0, 0.0), ('gives error code', 0, 0.0), ('issues merrychef oven', 0, 0.0), ('mariah shift called', 0, 0.0), ('merrychef e2s ovens', 0, 0.0), ('merrychef oven gives', 0, 0.0), ('oven gives error', 0, 0.0), ('overheating sh 430am', 0, 0.0), ('sh 430am 11pm', 0, 0.0), ('shift called issues', 0, 0.0)]","Mariah, SHIFT called about issues with the Merrychef oven. Gives an error code about overheating. SH- 430am-11pm Merrychef E2S Ovens - 1456",Power Supply
138,Other,"[('come replace pegs', 0, 0.0), ('got new heating', 0, 0.0), ('level tech said', 0, 0.0), ('new heating plates', 0, 0.0), ('pegs got new', 0, 0.0), ('replace pegs got', 0, 0.0), ('said come replace', 0, 0.0), ('tech said come', 0, 0.0), ('unit level tech', 0, 0.0)]","Unit Not Level, Tech said he would come back and replace the pegs for us when we got new heating plates.",Convection
153,Other,"[('did troubleshoot working', 0, 0.0), ('screen glitching working', 0, 0.0), ('troubleshoot working screen', 0, 0.0), ('working screen glitching', 0, 0.0)]",Did troubleshoot still not working screen is glitching and not working,Display Issue
154,Other,"[('code power sh430am', 0, 0.0), ('displaying warning error', 0, 0.0), ('error code power', 0, 0.0), ('oven displaying warning', 0, 0.0), ('power sh430am 1030pm', 0, 0.0), ('warning error code', 0, 0.0)]",Oven displaying warning error code. Will not power up. sh430am-1030pm,No Power
155,Other,"[('11pm merrychef e2s', 0, 0.0), ('2006213090138 asset 7290303926', 0, 0.0), ('30am 11pm merrychef', 0, 0.0), ('7290303926 store hours', 0, 0.0), ('access power cord', 0, 0.0), ('asset 7290303926 store', 0, 0.0), ('chef oven reading', 0, 0.0), ('constant key press', 0, 0.0), ('cord serial 2006213090138', 0, 0.0), ('detected error partner', 0, 0.0), ('e2s ovens 1456', 0, 0.0), ('error partner access', 0, 0.0), ('hours 30am 11pm', 0, 0.0), ('key press detected', 0, 0.0), ('left merry chef', 0, 0.0), ('merry chef oven', 0, 0.0), ('merrychef e2s ovens', 0, 0.0), ('oven reading constant', 0, 0.0), ('partner access power', 0, 0.0), ('power cord serial', 0, 0.0), ('press detected error', 0, 0.0), ('reading constant key', 0, 0.0), ('reported left merry', 0, 0.0), ('serial 2006213090138 asset', 0, 0.0), ('shift reported left', 0, 0.0), ('store hours 30am', 0, 0.0), ('zoe shift reported', 0, 0.0)]",Zoe Shift reported the left Merry Chef oven is reading Constant Key Press Detected Error. The partner can't access the power cord. Serial-2006213090138 Asset-7290303926 Store Hours- 4:30AM-11PM Merrychef E2S Ovens - 1456,Constant Key Press
158,Other,"[('door open closed', 0, 0.0), ('registering door open', 0, 0.0)]",Registering that door is open even when closed.,Close Door Error
159,Other,"[('comes oven odd', 0, 0.0), ('consistently comes oven', 0, 0.0), ('oven odd odor', 0, 0.0), ('smoke consistently comes', 0, 0.0)]",Smoke consistently comes out the side of oven. Very odd odor.,Foul Odor
173,Other,"[('constant key press', 0, 0.0), ('key press detected', 0, 0.0), ('press detected working', 0, 0.0)]",*constant key press detected Not working,Constant Key Press
174,Other,"[('screen working service', 0, 0.0), ('touch screen working', 0, 0.0), ('working service support', 0, 0.0)]",Touch screen not working **call service support**,Constant Key Press
176,Other,"[('oven started peel', 0, 0.0)]",The top of the oven has started to peel off.,Upper Impinger Plate
180,Other,"[('clean problem continues', 0, 0.0), ('filter removed message', 0, 0.0), ('giving filter removed', 0, 0.0), ('keeps giving filter', 0, 0.0), ('message tried clean', 0, 0.0), ('removed message tried', 0, 0.0), ('tried clean problem', 0, 0.0)]",Keeps giving a filter removed message. Tried to clean it out but problem continues,Air Filter Error
184,Other,"[('frozen error message', 0, 0.0), ('screen frozen error', 0, 0.0)]",Screen is frozen on error message,101 Magnetron Failure
212,Other,"[('calibration went white', 0, 0.0), ('constant key press', 0, 0.0), ('detected service support', 0, 0.0), ('key press detected', 0, 0.0), ('lpading touch calibration', 0, 0.0), ('non responsive turn', 0, 0.0), ('oven screen says', 0, 0.0), ('press detected service', 0, 0.0), ('responsive turn push', 0, 0.0), ('said lpading touch', 0, 0.0), ('says constant key', 0, 0.0), ('screen non responsive', 0, 0.0), ('screen says constant', 0, 0.0), ('service support said', 0, 0.0), ('support said lpading', 0, 0.0), ('touch calibration went', 0, 0.0), ('turn push button', 0, 0.0), ('went white screen', 0, 0.0), ('white screen non', 0, 0.0)]",Oven screen says constant key press detected call service support. Then said lpading touch calibration and went white. Screen is non responsive and will not turn off with push of the button,Constant Key Press
213,Other,"[('constant key press', 0, 0.0), ('key press detected', 0, 0.0)]",Constant key press detected,Constant Key Press
217,Other,"[('touch screen working', 0, 0.0)]",Touch screen not working at all,Display Issue
245,Other,"[('constant key press', 0, 0.0), ('detected service support', 0, 0.0), ('key press detected', 0, 0.0), ('press detected service', 0, 0.0), ('says warning constant', 0, 0.0), ('warning constant key', 0, 0.0)]",Says warning constant key press detected. Call service support,Constant Key Press
246,Other,"[('constant key press', 0, 0.0), ('detected machine wont', 0, 0.0), ('key press detected', 0, 0.0), ('machine wont respond', 0, 0.0), ('press detected machine', 0, 0.0)]",*constant key press detected I machine wont respond,Constant Key Press
247,Other,"[('constant key press', 0, 0.0), ('detected service support', 0, 0.0), ('key press detected', 0, 0.0), ('press detected service', 0, 0.0)]",Constant key press detected call service support,Constant Key Press
248,Other,"[('oven tray needs', 0, 0.0), ('right oven tray', 0, 0.0), ('tray needs replacement', 0, 0.0)]",Right Oven tray needs replacement,Cavity
290,Other,"[('asked guide easy', 0, 0.0), ('correctly ultimately trouble', 0, 0.0), ('determine guardian module', 0, 0.0), ('easy follow partners', 0, 0.0), ('follow troubleshooting guide', 0, 0.0), ('guardian module isn', 0, 0.0), ('guide determine guardian', 0, 0.0), ('guide easy follow', 0, 0.0), ('guide send stores', 0, 0.0), ('isn working correctly', 0, 0.0), ('module isn working', 0, 0.0), ('send stores asked', 0, 0.0), ('shooting guide send', 0, 0.0), ('stores asked guide', 0, 0.0), ('trouble shooting guide', 0, 0.0), ('troubleshooting guide determine', 0, 0.0), ('ultimately trouble shooting', 0, 0.0), ('working correctly ultimately', 0, 0.0)]",“Follow troubleshooting guide to determine why the guardian module isn’t working correctly. This will ultimately be the trouble shooting guide they send to the stores. We are being asked to see if this guide will be easy to follow for their partners.”,No Power
291,Other,"[('begin calibration does', 0, 0.0), ('calibration does let', 0, 0.0), ('comes happens touch', 0, 0.0), ('does let pass', 0, 0.0), ('happens touch screen', 0, 0.0), ('let pass warning', 0, 0.0), ('oven screen reads', 0, 0.0), ('oven thing happens', 0, 0.0), ('pass warning sign', 0, 0.0), ('reads release touch', 0, 0.0), ('release touch screen', 0, 0.0), ('screen begin calibration', 0, 0.0), ('screen reads release', 0, 0.0), ('screen tried turn', 0, 0.0), ('sign comes happens', 0, 0.0), ('touch screen begin', 0, 0.0), ('touch screen tried', 0, 0.0), ('tried turn oven', 0, 0.0), ('turn oven thing', 0, 0.0), ('warning sign comes', 0, 0.0)]","Oven screen reads ""release touch screen to begin calibration"" and it does not let us by pass it then a warning sign comes up but nothing happens when we touch the screen. We tried to turn oven off and back on and the same thing happens.",Constant Key Press
293,Other,"[('heat touch screen', 0, 0.0), ('oven wont start', 0, 0.0), ('screen does respond', 0, 0.0), ('start heat touch', 0, 0.0), ('touch screen does', 0, 0.0), ('wont start heat', 0, 0.0)]",Oven wont start to heat up and touch screen does not respond,Constant Key Press
294,Other,"[('click message says', 0, 0.0), ('constant key press', 0, 0.0), ('detected service support', 0, 0.0), ('doesn let click', 0, 0.0), ('giving message screen', 0, 0.0), ('key press detected', 0, 0.0), ('let click message', 0, 0.0), ('message says constant', 0, 0.0), ('oven doesn let', 0, 0.0), ('press detected service', 0, 0.0), ('says constant key', 0, 0.0), ('service support tried', 0, 0.0), ('support tried turning', 0, 0.0), ('tried turning giving', 0, 0.0), ('turning giving message', 0, 0.0)]","Oven doesn't let us click on it and there is a message that says, ""constant key press detected. Call service support"" tried turning it on and off, but it is still giving the same message on the screen.",Constant Key Press
